,date,Estimated TWh per Year,Minimum TWh per Year,price
0,2020-01-01,0.32699347144556073,0.3543968788640168,0.03455571353098838
1,2020-01-02,0.32699347144556073,0.38440385658534176,0.03453335612376132
2,2020-01-03,0.32699347144556073,0.3984735756933682,0.030859902443730117
3,2020-01-04,0.32699347144556073,0.4082537779190819,0.03623652932433391
4,2020-01-05,0.32699347144556073,0.4183755364567867,0.03705190863212632
5,2020-01-06,0.32699347144556073,0.42541420168391114,0.03702946210307509
6,2020-01-07,0.32699347144556073,0.43589975992425956,0.043176402327712804
7,2020-01-08,0.32699347144556073,0.4398596019856607,0.049771320050902235
8,2020-01-09,0.32699347144556073,0.4436914570182378,0.04814749801835605
9,2020-01-10,0.32699347144556073,0.4466184023103058,0.04474420435221885
10,2020-01-11,0.32699347144556073,0.4448219079371756,0.05030017183786614
11,2020-01-12,0.32699347144556073,0.4417470936499641,0.04760897274236997
12,2020-01-13,0.32699347144556073,0.43875286881477393,0.05015457696347428
13,2020-01-14,0.32699347144556073,0.4359810762309469,0.04918383808980567
14,2020-01-15,0.32699347144556073,0.43446032038685295,0.06022847521039157
15,2020-01-16,0.32699347144556073,0.4336324063753851,0.060531727430257726
16,2020-01-17,0.32699347144556073,0.4357029005627162,0.05893499689859416
17,2020-01-18,0.32716065540665135,0.43587507687928034,0.06183746400555018
18,2020-01-19,0.32722140086433515,0.44007624540362117,0.06190670924906769
19,2020-01-20,0.32722140086433466,0.4433498851745294,0.05844703382620764
20,2020-01-21,0.32722140086433515,0.4434227340713218,0.05750228549712147
21,2020-01-22,0.3272214008643351,0.4417055555150324,0.05899729859746472
22,2020-01-23,0.32722140086433515,0.44280371036686156,0.0580484742820582
23,2020-01-24,0.32722140086433515,0.44382357077822665,0.05406217048187992
24,2020-01-25,0.32722140086433515,0.4480606008417759,0.05432007211556533
25,2020-01-26,0.32722140086433515,0.4473496829938093,0.05298697858938875
26,2020-01-27,0.3273408835570968,0.44917950917826704,0.0569346425857955
27,2020-01-28,0.3275938556905252,0.44966190769681075,0.06146623085290495
28,2020-01-29,0.32871942258341574,0.4516718253582208,0.06852021714398421
29,2020-01-30,0.3298483661769844,0.4521736011278114,0.06781857340115202
30,2020-01-31,0.3309806966013338,0.4497341841065867,0.07154012205405158
31,2020-02-01,0.33211642401695673,0.4506222727314092,0.06831656343718528
32,2020-02-02,0.33325555861482625,0.45145100245880115,0.06919799428228776
33,2020-02-03,0.3341998689728492,0.4536901422524586,0.0688016090873094
34,2020-02-04,0.3341998689728492,0.4521365020874298,0.0683301836871372
35,2020-02-05,0.33505890767240215,0.4522457356234082,0.06626971516906802
36,2020-02-06,0.3362068697212381,0.4498461385147711,0.07285640195786541
37,2020-02-07,0.33735827565622023,0.45198998581615996,0.07529235126939046
38,2020-02-08,0.3385131358090075,0.45021200411339957,0.07616815702376506
39,2020-02-09,0.33967146054225344,0.44506606198022763,0.07762623660697035
40,2020-02-10,0.34083326024969846,0.4361841789637276,0.08174351808239647
41,2020-02-11,0.34199854535626634,0.4313795005325142,0.07761696220127468
42,2020-02-12,0.3431673263181535,0.43046600571705484,0.08299855778504311
43,2020-02-13,0.34433961362292675,0.43181946860130627,0.08462790328584893
44,2020-02-14,0.3455154177896147,0.4263020235013242,0.08290803283511408
45,2020-02-15,0.3466947493688021,0.41889437544855224,0.08448824532996202
46,2020-02-16,0.34787761894272706,0.41995993362212497,0.07768111384998422
47,2020-02-17,0.34906403712537404,0.4208601885000849,0.07847264318320751
48,2020-02-18,0.34992213425391494,0.42448890888974933,0.07495630085807131
49,2020-02-19,0.35014531720150255,0.42168957798050616,0.0815108358888092
50,2020-02-20,0.3501891307012418,0.42331515917296525,0.07327544131113842
51,2020-02-21,0.3503949900095257,0.42728609586202254,0.07311182149080545
52,2020-02-22,0.3505280419620877,0.43026252029519096,0.07414790237796445
53,2020-02-23,0.3507638118561203,0.4286995283898736,0.07391772176410905
54,2020-02-24,0.3508695293532433,0.43015727060158976,0.07852125777945376
55,2020-02-25,0.3508695293532429,0.4304060655877066,0.07411513079174892
56,2020-02-26,0.3508695293532429,0.43152564992057885,0.06891227655648624
57,2020-02-27,0.3508695293532429,0.4283686065844684,0.060225054497328595
58,2020-02-28,0.3508695293532429,0.424701493141687,0.059897787480333614
59,2020-02-29,0.3508695293532429,0.4245585169375283,0.058877665303693094
60,2020-03-01,0.3508695293532429,0.4253062050151328,0.05625173914774337
61,2020-03-02,0.3508695293532429,0.42656862829214437,0.05648842917064295
62,2020-03-03,0.3508695293532429,0.42975778836976264,0.06189030629536402
63,2020-03-04,0.3508695293532429,0.4345786762657315,0.059507008614746476
64,2020-03-05,0.3508695293532429,0.4398776049181067,0.05953782161176693
65,2020-03-06,0.3508695293532429,0.4474268620327178,0.06401534027038705
66,2020-03-07,0.3508695293532429,0.4545289647713445,0.06556484087847919
67,2020-03-08,0.3508695293532429,0.45884827558936575,0.06183159921420092
68,2020-03-09,0.3508695293532429,0.4615238826377631,0.048076816211871654
69,2020-03-10,0.3508695293532429,0.46058826775245326,0.046158873207788664
70,2020-03-11,0.3508695293532429,0.4590581484893625,0.0459255810174079
71,2020-03-12,0.34603019829674614,0.4590660943884255,0.046385607144173946
72,2020-03-13,0.3281043291748413,0.4524589492419776,0.0017654384467890027
73,2020-03-14,0.3240343542832766,0.4416559938305403,0.008154064906674002
74,2020-03-15,0.3191789272846527,0.43244669437763056,0.002903078552863994
75,2020-03-16,0.2970534415086659,0.42505054287679234,0.005839016419019488
76,2020-03-17,0.29808738715901056,0.4175985333705468,0.0
