date,price
2020-01-01,41.14378219645246
2020-01-02,41.7831991364471
2020-01-03,39.96757093651983
2020-01-04,43.82060220836618
2020-01-05,46.164579831790505
2020-01-06,51.13767846476209
2020-01-07,56.55601546595422
2020-01-08,54.68706062299755
2020-01-09,52.213478582316554
2020-01-10,50.48492929030922
2020-01-11,56.69817225060775
2020-01-12,63.34512288489337
2020-01-13,66.21974823703734
2020-01-14,69.36301282474267
2020-01-15,88.227217928699
2020-01-16,132.03376200729733
2020-01-17,127.99697994742071
2020-01-18,113.72524267879761
2020-01-19,101.26469892326082
2020-01-20,104.69559273575832
2020-01-21,109.29350219020287
2020-01-22,110.71024790093023
2020-01-23,107.25297151744729
2020-01-24,102.17868433724679
2020-01-25,100.55049482674144
2020-01-26,102.31372935468416
2020-01-27,110.94820097822698
2020-01-28,112.67173123449739
2020-01-29,115.47023875573528
2020-01-30,121.80635789385573
2020-01-31,122.10258375149313
2020-02-01,115.06702776938718
2020-02-02,116.37946011082221
2020-02-03,114.32490673062932
2020-02-04,114.99904701537395
2020-02-05,110.7586108854174
2020-02-06,122.1391377517088
2020-02-07,119.86656384827926
2020-02-08,118.37771052486471
2020-02-09,126.19996295790979
2020-02-10,127.59962706435796
2020-02-11,127.76080768694666
2020-02-12,129.64099042802704
2020-02-13,133.00028094591212
2020-02-14,130.92901467828622
2020-02-15,132.56309703980457
2020-02-16,120.3861185666067
2020-02-17,112.21556751193877
2020-02-18,114.95667744884527
2020-02-19,115.54573589470897
2020-02-20,105.1562122200198
2020-02-21,104.92405915581617
2020-02-22,107.7355089782796
2020-02-23,103.91876191413564
2020-02-24,107.90412397015619
2020-02-25,103.58050305936375
2020-02-26,95.70389304201204
2020-02-27,84.69029217279733
2020-02-28,88.29012969072024
2020-02-29,88.4500279686806
2020-03-01,85.61342012287588
2020-03-02,85.28504760206427
2020-03-03,90.01423609493716
2020-03-04,88.76216436616416
2020-03-05,86.93762496939473
2020-03-06,89.9185788573601
2020-03-07,93.63146090091887
2020-03-08,88.36580315895515
2020-03-09,74.0614684947454
2020-03-10,73.38996590042248
2020-03-11,74.59066067320512
2020-03-12,72.17341541478721
2020-03-13,43.799784502354065
2020-03-14,51.11152196695558
2020-03-15,45.908571214682595
2020-03-16,47.64355456443128
2020-03-17,43.10025698849719
2020-03-18,46.43591959057135
2020-03-19,60.7743998886481
2020-03-20,65.64231775208393
2020-03-21,71.47067701163228
2020-03-22,70.9810228499287
2020-03-23,62.636788074814426
2020-03-24,70.28240311013805
2020-03-25,69.45452997034646
2020-03-26,67.92053324736207
2020-03-27,68.65862380649374
2020-03-28,68.2278738903691
2020-03-29,65.2400025636532
2020-03-30,60.82428091389272
2020-03-31,65.92673046128404
2020-04-01,65.38373695195519
2020-04-02,66.251827804949
2020-04-03,67.44112829792117
2020-04-04,67.39233314316256
2020-04-05,68.53156151322037
2020-04-06,66.8149183979964
2020-04-07,72.98745673413892
2020-04-08,72.06196778365992
2020-04-09,75.34251555625625
2020-04-10,82.86314438067268
2020-04-11,74.13091462087606
2020-04-12,74.92028596214172
2020-04-13,74.68558373716233
2020-04-14,73.2677689788329
2020-04-15,72.41495903671844
2020-04-16,70.75734983339017
2020-04-17,75.74768113534394
2020-04-18,76.30002658814445
2020-04-19,80.11546179984516
2020-04-20,80.2209314470219
2020-04-21,74.49401611665182
2020-04-22,74.52892163550896
2020-04-23,80.76759115045583
2020-04-24,80.207973282689
2020-04-25,81.23687278441402
2020-04-26,85.79516590510654
2020-04-27,84.23474487480611
2020-04-28,82.7660893629555
2020-04-29,82.46805226555759
2020-04-30,85.27766118653294
2020-05-01,80.71567338157072
2020-05-02,82.85695773426427
2020-05-03,83.32955301010085
2020-05-04,81.22004581514419
2020-05-05,79.68862937864313
2020-05-06,79.5235228951412
2020-05-07,77.47757147691486
2020-05-08,78.79098234311262
2020-05-09,81.50896399012655
2020-05-10,79.71625976564546
2020-05-11,72.3847462649339
2020-05-12,69.7932573531641
2020-05-13,73.13720730474408
2020-05-14,73.81573090190416
2020-05-15,74.49519681966595
2020-05-16,72.15323489483849
2020-05-17,73.47259387474935
2020-05-18,75.00568369347003
2020-05-19,75.97884586197642
2020-05-20,77.05882329029663
2020-05-21,78.19328181834305
2020-05-22,72.94750931488308
2020-05-23,73.70751721242975
2020-05-24,73.83931092494548
2020-05-25,71.48476228493749
2020-05-26,73.48848689799959
2020-05-27,72.52220987263279
2020-05-28,73.4474034302013
2020-05-29,75.0003283878307
2020-05-30,74.03213744616805
2020-05-31,78.84086928131909
2020-06-01,76.69207666436492
2020-06-02,80.05493123505522
2020-06-03,78.22709443039618
2020-06-04,77.96675702246395
2020-06-05,79.3152094667221
2020-06-06,77.93641227418661
2020-06-07,78.27058082847597
2020-06-08,77.9354352704598
2020-06-09,77.61840877285073
2020-06-10,77.51649542709593
2020-06-11,78.1974610349286
2020-06-12,72.33504912029086
2020-06-13,73.30603058158385
2020-06-14,74.14509310582241
2020-06-15,72.6793569960376
2020-06-16,71.93590056095027
2020-06-17,72.51493695713657
2020-06-18,72.37035871700382
2020-06-19,71.51349413687224
2020-06-20,70.0402123877484
2020-06-21,71.04273961431107
2020-06-22,70.11773621305642
2020-06-23,72.40990926680755
2020-06-24,74.0314986995662
2020-06-25,72.27819343823644
2020-06-26,71.17859126014677
2020-06-27,70.72618896443825
2020-06-28,66.93119488394804
2020-06-29,67.73937165498823
2020-06-30,68.93954011393326
2020-07-01,68.26880215376703
2020-07-02,68.29936610070556
2020-07-03,66.6979620362811
2020-07-04,66.52183851371157
