date,price
2020-01-01,27.529298390787897
2020-01-02,28.046205979890093
2020-01-03,27.02958346128943
2020-01-04,28.44898856924362
2020-01-05,29.934325109130448
2020-01-06,30.69720215960649
2020-01-07,32.73523967019369
2020-01-08,32.39231638259794
2020-01-09,30.78663728304301
2020-01-10,30.841511911994996
2020-01-11,33.637179581034545
2020-01-12,34.891565235735605
2020-01-13,35.52815692585468
2020-01-14,38.15440331120928
2020-01-15,43.87261543571178
2020-01-16,54.74174536958162
2020-01-17,50.711586212483205
2020-01-18,61.56839658894463
2020-01-19,51.983230774700054
2020-01-20,51.18554628209782
2020-01-21,53.860968253656246
2020-01-22,53.208591227373354
2020-01-23,51.994466653047844
2020-01-24,49.18498372501088
2020-01-25,48.84439139385886
2020-01-26,48.82764544542833
2020-01-27,53.61235396536906
2020-01-28,55.17817165891947
2020-01-29,56.49928718504374
2020-01-30,62.421601371386686
2020-01-31,66.65792897573932
2020-02-01,66.10293534519434
2020-02-02,65.78768408382342
2020-02-03,66.34059985041687
2020-02-04,65.56289331377184
2020-02-05,64.31856628531699
2020-02-06,70.63442640627488
2020-02-07,70.15761264441073
2020-02-08,68.72947629563492
2020-02-09,70.02757263714763
2020-02-10,70.87093610294706
2020-02-11,69.7314236695395
2020-02-12,72.63640352235534
2020-02-13,73.31906133541723
2020-02-14,72.19574232726036
2020-02-15,72.89804594254751
2020-02-16,64.60120238369319
2020-02-17,60.30721440812644
2020-02-18,64.36900226430728
2020-02-19,65.90746079667527
2020-02-20,62.25078058950788
2020-02-21,60.75840095201412
2020-02-22,61.55316231176143
2020-02-23,60.69786663514465
2020-02-24,63.170492563783995
2020-02-25,61.01682837489685
2020-02-26,57.27156015850921
2020-02-27,51.48078201391403
2020-02-28,52.416073766583274
2020-02-29,50.843271783330806
2020-03-01,49.032764671723726
2020-03-02,49.27336891292178
2020-03-03,52.237978589142585
2020-03-04,50.82147712604969
2020-03-05,50.122464717587086
2020-03-06,51.84462927927669
2020-03-07,53.195125979968005
2020-03-08,50.68311641420466
2020-03-09,42.625744720082125
2020-03-10,41.82420512224907
2020-03-11,41.6027065377499
2020-03-12,40.176610323451335
2020-03-13,25.292004142708702
2020-03-14,27.555556498882794
2020-03-15,25.034206608541822
2020-03-16,25.739852504665944
2020-03-17,24.45917620327847
2020-03-18,25.25624431775961
2020-03-19,28.9897267445361
2020-03-20,31.897554920444044
2020-03-21,32.81226685175921
2020-03-22,32.865546566655965
2020-03-23,29.545454956127532
2020-03-24,32.15619100807041
2020-03-25,32.93704547963313
2020-03-26,32.326319254185385
2020-03-27,32.55354920580258
2020-03-28,31.088549151911362
2020-03-29,30.448447799534275
2020-03-30,28.40458304292216
2020-03-31,30.631787513342267
2020-04-01,30.989332750313338
2020-04-02,31.49566280199474
2020-04-03,32.318494797832365
2020-04-04,32.61029524772994
2020-04-05,33.11472263171649
2020-04-06,32.557369296573405
2020-04-07,37.36428705377119
2020-04-08,36.487644017637045
2020-04-09,37.7437853719524
2020-04-10,40.98535919264761
2020-04-11,36.162609965255214
2020-04-12,36.2524312637058
2020-04-13,36.4463880920849
2020-04-14,35.883665230668335
2020-04-15,35.596429105411616
2020-04-16,35.150214535366224
2020-04-17,38.63515257132706
2020-04-18,40.987044035781686
2020-04-19,42.03515880785566
2020-04-20,46.39524928724541
2020-04-21,42.47664547075759
2020-04-22,42.06870424798092
2020-04-23,45.38717081383484
2020-04-24,44.21023252034195
2020-04-25,44.079734763321994
2020-04-26,44.64561784935018
2020-04-27,44.766019094032586
2020-04-28,44.55701952578284
2020-04-29,44.6965677452236
2020-04-30,46.646555317926826
2020-05-01,44.85260014720016
2020-05-02,45.62081990658963
2020-05-03,46.482734884089055
2020-05-04,44.8529113699016
2020-05-05,43.99008898329659
2020-05-06,43.83322441233516
2020-05-07,42.9624032025461
2020-05-08,44.23509528074938
2020-05-09,46.720823111680296
2020-05-10,44.938745402988914
2020-05-11,41.01080178540005
2020-05-12,39.63493129757784
2020-05-13,42.045360158892336
2020-05-14,43.005225234095434
2020-05-15,43.08586160063691
2020-05-16,41.890180704780306
2020-05-17,42.5090916966684
2020-05-18,46.2504885457912
2020-05-19,47.979030484260235
2020-05-20,48.709806050006904
2020-05-21,48.50734170655348
2020-05-22,46.065562041513196
2020-05-23,46.870831086409034
2020-05-24,46.91395545167098
2020-05-25,45.02851882525938
2020-05-26,45.87302537837059
2020-05-27,44.81425309373193
2020-05-28,46.02052580167086
2020-05-29,47.59145696578162
2020-05-30,46.64929079460162
2020-05-31,54.495018816347915
2020-06-01,51.58600518998346
2020-06-02,54.76760685471118
2020-06-03,51.5001689243769
2020-06-04,52.6760915485657
2020-06-05,53.40827933193295
2020-06-06,52.53083799837786
2020-06-07,52.84933845741264
2020-06-08,52.224407110011924
2020-06-09,52.42352840840189
2020-06-10,51.919097523249285
2020-06-11,55.17803642727281
2020-06-12,49.65800227428274
2020-06-13,51.63023321594237
2020-06-14,52.84013647170777
2020-06-15,51.104321974699644
2020-06-16,52.38750045675837
2020-06-17,52.852707279132474
2020-06-18,52.88494060084784
2020-06-19,52.06777710137924
2020-06-20,51.32362929848764
2020-06-21,51.34356283014486
2020-06-22,50.487422709057775
2020-06-23,53.533722167491504
2020-06-24,58.08460991003712
2020-06-25,55.11789909481353
2020-06-26,55.966945606821334
2020-06-27,55.67911493137244
2020-06-28,52.31250959050322
2020-06-29,51.799471510226276
2020-06-30,52.520213578176225
2020-07-01,51.662231622825786
2020-07-02,51.77869977149331
2020-07-03,51.21414676397853
2020-07-04,51.09004170095422
